 job_id |                                                  tool_id                                                  |  state  | total_filesize | num_files | runtime_seconds |   slots    |     memory_bytes     |        create_time         
   9811 | quantification                                                                                            | error   |         102318 |         3 |      37.0000000 |  8.0000000 |    520155136.0000000 | 2022-06-29 05:17:21.245361
   6755 | gate_finder                                                                                               | ok      |         312397 |         3 |    1243.0000000 |  1.0000000 |    661344256.0000000 | 2022-06-14 18:16:38.909735
   8546 | gate_finder                                                                                               | ok      |          99839 |         3 |      27.0000000 |  1.0000000 |    620478464.0000000 | 2022-06-16 05:56:39.305086
   8559 | quantification                                                                                            | ok      |        1990640 |         3 |    3571.0000000 |  8.0000000 |  52122042368.0000000 | 2022-06-16 15:29:08.111128
   8604 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:22.66413
   8605 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:24.439974
   8613 | __DATA_FETCH__                                                                                            | ok      |                |           |       8.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:52.504352
   8618 | __DATA_FETCH__                                                                                            | ok      |                |           |       8.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:46:15.384168
   8751 | __DATA_FETCH__                                                                                            | ok      |                |           |      13.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:51:44.48094
   8754 | __DATA_FETCH__                                                                                            | ok      |                |           |      12.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:51:47.230302
   9273 | quantification                                                                                            | ok      |          88034 |         3 |      44.0000000 |  8.0000000 |    551673856.0000000 | 2022-06-24 21:14:13.589576
   9278 | quantification                                                                                            | ok      |         100154 |         3 |      40.0000000 |  8.0000000 |    550641664.0000000 | 2022-06-24 21:14:13.589595
   9347 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30205 |         1 |      49.0000000 |  4.0000000 |    489832448.0000000 | 2022-06-24 21:34:15.705826
   9350 | scimap_mcmicro_to_anndata                                                                                 | ok      |          35527 |         1 |      70.0000000 |  4.0000000 |    491573248.0000000 | 2022-06-24 21:34:15.705838
   9340 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31301 |         1 |      74.0000000 |  4.0000000 |    483766272.0000000 | 2022-06-24 21:34:15.705789
   9349 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29774 |         1 |      71.0000000 |  4.0000000 |    484552704.0000000 | 2022-06-24 21:34:15.705834
   9389 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32206 |         1 |      72.0000000 |  4.0000000 |    487923712.0000000 | 2022-06-24 21:34:15.706001
   9522 | vitessce_spatial                                                                                          | ok      |      224486953 |         3 |     222.0000000 |  4.0000000 |   1235484672.0000000 | 2022-06-24 22:27:46.622237
   9548 | __DATA_FETCH__                                                                                            | ok      |                |           |     115.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 17:44:52.143915
   9554 | __SET_METADATA__                                                                                          | ok      |          28759 |         1 |       4.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 19:02:07.115036
   9555 | __SET_METADATA__                                                                                          | ok      |          33158 |         1 |       4.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 19:02:19.298361
   9558 | __SET_METADATA__                                                                                          | ok      |          35865 |         1 |       3.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 19:02:51.515037
   9559 | __SET_METADATA__                                                                                          | ok      |          27412 |         1 |       4.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 19:03:04.48218
   9570 | __DATA_FETCH__                                                                                            | ok      |                |           |       6.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-28 20:35:50.267719
   6764 | gate_finder                                                                                               | ok      |        2668367 |         3 |    1239.0000000 |  1.0000000 |    662614016.0000000 | 2022-06-14 18:16:38.909775
   9382 | scimap_mcmicro_to_anndata                                                                                 | ok      |          33323 |         1 |      72.0000000 |  4.0000000 |    484446208.0000000 | 2022-06-24 21:34:15.705972
   9388 | scimap_mcmicro_to_anndata                                                                                 | ok      |          35534 |         1 |      67.0000000 |  4.0000000 |    487198720.0000000 | 2022-06-24 21:34:15.705997
   9385 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32500 |         1 |      69.0000000 |  4.0000000 |    487964672.0000000 | 2022-06-24 21:34:15.705984
   9375 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32706 |         1 |      74.0000000 |  4.0000000 |    483762176.0000000 | 2022-06-24 21:34:15.705943
   9384 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31548 |         1 |      75.0000000 |  4.0000000 |    488910848.0000000 | 2022-06-24 21:34:15.70598
   9376 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29647 |         1 |      71.0000000 |  4.0000000 |    482983936.0000000 | 2022-06-24 21:34:15.705947
   6767 | gate_finder                                                                                               | ok      |        7478821 |         3 |    1229.0000000 |  1.0000000 |    669802496.0000000 | 2022-06-14 18:16:38.909788
   9358 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29853 |         1 |      75.0000000 |  4.0000000 |    491307008.0000000 | 2022-06-24 21:34:15.705872
   9355 | scimap_mcmicro_to_anndata                                                                                 | ok      |          27895 |         1 |      74.0000000 |  4.0000000 |    492204032.0000000 | 2022-06-24 21:34:15.705859
   9368 | scimap_mcmicro_to_anndata                                                                                 | ok      |          26726 |         1 |      74.0000000 |  4.0000000 |    492445696.0000000 | 2022-06-24 21:34:15.705914
   9329 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30510 |         1 |      66.0000000 |  4.0000000 |    489238528.0000000 | 2022-06-24 21:34:15.705704
   9325 | scimap_mcmicro_to_anndata                                                                                 | ok      |          33122 |         1 |      70.0000000 |  4.0000000 |    490115072.0000000 | 2022-06-24 21:34:15.705689
   9332 | scimap_mcmicro_to_anndata                                                                                 | ok      |          38258 |         1 |      74.0000000 |  4.0000000 |    489349120.0000000 | 2022-06-24 21:34:15.705752
   9324 | scimap_mcmicro_to_anndata                                                                                 | ok      |          25982 |         1 |      75.0000000 |  4.0000000 |    491057152.0000000 | 2022-06-24 21:34:15.70568
   9356 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28537 |         1 |      72.0000000 |  4.0000000 |    484790272.0000000 | 2022-06-24 21:34:15.705863
   9333 | scimap_mcmicro_to_anndata                                                                                 | ok      |          34055 |         1 |      74.0000000 |  4.0000000 |    483835904.0000000 | 2022-06-24 21:34:15.705759
   9360 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30664 |         1 |      55.0000000 |  4.0000000 |    491380736.0000000 | 2022-06-24 21:34:15.70588
   6773 | gate_finder                                                                                               | ok      |        3338218 |         3 |    1165.0000000 |  1.0000000 |    666005504.0000000 | 2022-06-14 18:16:38.909813
   9337 | scimap_mcmicro_to_anndata                                                                                 | ok      |          26159 |         1 |      72.0000000 |  4.0000000 |    483803136.0000000 | 2022-06-24 21:34:15.705776
   9336 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32203 |         1 |      74.0000000 |  4.0000000 |    482869248.0000000 | 2022-06-24 21:34:15.705772
   9342 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29304 |         1 |      74.0000000 |  4.0000000 |    483262464.0000000 | 2022-06-24 21:34:15.705805
   9348 | scimap_mcmicro_to_anndata                                                                                 | ok      |          33048 |         1 |      63.0000000 |  4.0000000 |    485216256.0000000 | 2022-06-24 21:34:15.70583
   6761 | gate_finder                                                                                               | ok      |        2706968 |         3 |    1187.0000000 |  1.0000000 |    647520256.0000000 | 2022-06-14 18:16:38.909763
   9353 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32950 |         1 |      75.0000000 |  4.0000000 |    491208704.0000000 | 2022-06-24 21:34:15.705851
   9351 | scimap_mcmicro_to_anndata                                                                                 | ok      |          32780 |         1 |      75.0000000 |  4.0000000 |    490745856.0000000 | 2022-06-24 21:34:15.705843
   9374 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31455 |         1 |      69.0000000 |  4.0000000 |    483696640.0000000 | 2022-06-24 21:34:15.705939
   9352 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30995 |         1 |      69.0000000 |  4.0000000 |    492564480.0000000 | 2022-06-24 21:34:15.705847
   6727 | gate_finder                                                                                               | ok      |        4362217 |         3 |    1242.0000000 |  1.0000000 |    665960448.0000000 | 2022-06-14 18:16:38.909594
   9364 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28213 |         1 |      71.0000000 |  4.0000000 |    485249024.0000000 | 2022-06-24 21:34:15.705897
   9359 | scimap_mcmicro_to_anndata                                                                                 | ok      |          30431 |         1 |      76.0000000 |  4.0000000 |    492142592.0000000 | 2022-06-24 21:34:15.705876
   9346 | scimap_mcmicro_to_anndata                                                                                 | ok      |          34060 |         1 |      75.0000000 |  4.0000000 |    485396480.0000000 | 2022-06-24 21:34:15.705822
   9363 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29296 |         1 |      39.0000000 |  4.0000000 |    483975168.0000000 | 2022-06-24 21:34:15.705893
